Course Number,Semester,Average,Median,,
044137,202301,88.483,90,,
044148,201402,72.7,73.5,,
044148,201403,76.444,78,,
044148,201501,74.009,75,,
044148,201502,76.86,81,,
044148,201503,79.048,81,,
044148,201601,77.884,80,,
044148,201602,73.619,74,,
044148,201603,84.171,88,,
044148,201701,78.067,81,,
044148,201702,72.646,72,,
044148,201703,85.379,87,,
044148,201801,79.774,82,,
044148,201802,73,74,,
044148,201803,79.927,83,,
044148,201901,74.57,72,,
044148,201902,76.427,79.5,,
044148,201903,82.229,83,,
044148,202001,77.705,82,,
044148,202002,77.068,79,,
044148,202003,82.583,83,,
044148,202101,82.552,85,,
044148,202102,71.372,74,,
044148,202103,74.75,81.5,,
044148,202201,78.655,82,,
044148,202202,71.29,73,,
044148,202203,86.1,88.5,,
044148,202301,76.2,78,,
044202,201401,73.114,77,,
044202,201402,74.764,77,,
044202,201501,78.621,83,,
044202,201502,80.129,81,,
044202,201601,78.157,81,,
044202,201602,75.93,76,,
044202,201701,77.06,80,,
044202,201702,73.835,74,,
044202,201801,82.443,86,,
044202,201802,75.203,78,,
044202,201901,78.064,81,,
044202,201902,70.947,72,,
044202,202001,71.966,74,,
044202,202002,74.507,74.5,,
044202,202101,75.694,77,,
044202,202102,73.897,75,,
044202,202201,71.873,73,,
044202,202202,78.972,80,,
044202,202301,79.342,81,,
044158,201901,98.091,98,,
044158,201902,96.593,96.5,,
044158,201903,97.483,98,,
044158,202001,97.299,97,,
044158,202002,94.926,95,,
044158,202003,94.73,94,,
044158,202101,95.973,96,,
044158,202102,96.384,97,,
044158,202103,95.347,96,,
044158,202201,95.944,96,,
044158,202202,95.541,96,,
044158,202203,96.27,96,,
044158,202301,96.011,97,,
044124,201702,91.286,92,,
044124,201901,82.39,83,,
044124,201902,79.176,78,,
044124,202001,80.86,83,,
044124,202002,75.434,76,,
044124,202101,76.551,78,,
044124,202102,78.411,79,,
044124,202201,81.099,82,,
044124,202202,89.375,90.5,,
044124,202301,82.389,84,,
044159,201902,96.832,97,,
044159,201903,96.857,97,,
044159,202001,96.113,97,,
044159,202002,95.797,96,,
044159,202003,95.25,96,,
044159,202101,94.929,96,,
044159,202102,95.959,96,,
044159,202103,96.179,97,,
044159,202201,96.363,96.5,,
044159,202202,95.961,97,,
044159,202203,96.456,97,,
044167,201401,95.897,97,,
044167,201402,96.046,97,,
044167,201502,98.106,98,,
044167,201601,95.82,97,,
044167,201602,96.75,97,,
044167,201701,96.463,97,,
044167,201702,96.373,97,,
044167,201801,95.746,97,,
044167,201802,96.312,96,,
044167,201901,96.858,97,,
044167,201902,96.5,96,,
044167,202001,96.568,97,,
044167,202002,96.639,97,,
044167,202101,95.84,96,,
044167,202102,96.482,96.5,,
044167,202201,96.306,97,,
044167,202202,96.511,97,,
044166,201402,97.66,98,,
044166,201403,97.333,97,,
044166,201601,98.292,98,,
044166,201602,97.992,98,,
044166,201603,97.739,98,,
044166,201701,97.669,98,,
044166,201702,98.118,98,,
044166,201703,97.424,98,,
044166,201801,97.763,98,,
044166,201802,97.575,98,,
044166,201803,97.594,98,,
044166,201901,97.369,97,,
044166,201902,97.545,98,,
044166,201903,97.278,98,,
044166,202001,97.613,98,,
044166,202002,97.072,97,,
044166,202003,96.615,97,,
044166,202101,96.398,97,,
044166,202102,96.67,97,,
044166,202103,96.29,97,,
044166,202201,96.33,97,,
044166,202202,96.168,96,,
044166,202203,96,96,,
044169,201501,97.088,98,,
044169,201502,98.174,98,,
044169,201601,96.781,97,,
044169,201602,96.311,97,,
044169,201701,97.358,97,,
044169,201702,97.184,98,,
044169,201801,96.794,97,,
044169,201802,96.496,97,,
044169,201901,96.536,97,,
044169,201902,96.784,97.5,,
044169,202001,96.108,97,,
044169,202002,96.08,97,,
044169,202101,96.162,97,,
044169,202102,96.513,97,,
044169,202201,96.923,97,,
044169,202202,96.184,98,,
Course Number,Average of Medians,,,,
044102,,,,,
104031,70.54,5.5,387.97,,
104016,76.11,5,380.55,,81.69367442
114071,76.2,3.5,266.7,,
234117,78.69,4,314.76,,
324033אנגלית ,85.54,,,,
 ספורט 394901,97,1,97,,
045001,96.2,1,96.2,,
044252,83,5,415,,
104013,78.02,5.5,429.11,,
104035,74.26,5,371.3,,
114032,89.95,1,89.95,,
114075,80.74,5,403.7,,
114081,90.66,1.5,135.99,,
044105,82,4,328,,
044268,77.89,3,233.67,,
044157,96.69,2,193.38,,
104221,75.04,4,300.16,,
104223,75.38,4,301.52,,
114073,79.4,3.5,277.9,,
044127,79.95,3.5,279.825,,
044131,81.67,5,408.35,,
044140,76.03,3.5,266.105,,
104034,76.26,3.5,266.91,,
044137,82.3,5,411.5,,
044148,79.63,3,238.89,,
044202,77.92,3,233.76,,
044158,96.35,1.5,144.525,,
044124,82.55,3,247.65,,
044159,96.59,2.5,241.475,,
044167,96.85,4,387.4,,
044166,97.48,2.5,243.7,,
044169,97.28,4,389.12,,
