Course Number,Folder,Exam,Max Grade
104034,202203,Exam_A,94
104034,202203,Exam_B,89
104034,201602,Exam_B,100
104034,202002,Exam_A,100
104034,202002,Exam_B,100
104034,201702,Exam_A,100
104034,201702,Exam_B,100
104034,202301,Exam_A,100
104034,202301,Exam_B,100
104034,201102,Exam_A,100
104034,201902,Exam_A,100
104034,201902,Exam_B,100
104034,201802,Exam_A,100
104034,201802,Exam_B,100
336537,201502,Exam_A,100
336537,202202,Exam_A,90
336537,202202,Exam_B,87
336537,202002,Exam_A,97.5
336537,202002,Exam_B,92.5
336537,201702,Exam_B,92
336537,201902,Exam_A,100
336537,201902,Exam_B,93
336537,202102,Exam_A,100
336537,202102,Exam_B,84
336537,201402,Exam_A,100
336537,201402,Exam_B,96
334221,201202,Exam_A,91
334221,202102,Exam_A,100
334221,202102,Exam_B,86.5
334221,202202,Exam_A,100
335009,202002,Exam_A,98
335009,202002,Exam_B,90
335009,201602,Exam_B,95
334222,201902,Exam_A,90
334222,202102,Exam_A,100
334222,202102,Exam_B,66.5
334222,202002,Exam_A,100
334222,202002,Exam_B,78
334222,202202,Exam_A,99.878
334222,202202,Exam_B,99
134113,201101,Exam_A,98
134113,202201,Exam_A,100
134113,202201,Exam_B,100
134113,202101,Exam_A,100
134113,202101,Exam_B,100
134113,202001,Exam_A,100
134113,202001,Exam_B,100
134113,201901,Exam_A,100
134113,201901,Exam_B,97
276011,201601,Exam_A,93
276011,201601,Exam_B,90
276011,201801,Exam_A,91
276011,201801,Exam_B,89
276011,202101,Exam_A,96
276011,202101,Exam_B,93
276011,202201,Exam_A,92
276011,202201,Exam_B,88
276011,202301,Exam_A,97
276011,201701,Exam_A,94
276011,201701,Exam_B,78
276011,201501,Exam_A,95
276011,202001,Exam_A,100
276011,202001,Exam_B,85
276011,201901,Exam_A,95
276011,201901,Exam_B,90
334011,202202,Exam_A,100
334011,202201,Exam_A,100
334011,202201,Exam_B,94
334011,202101,Exam_A,100
334011,202101,Exam_B,98
334011,202102,Exam_A,97.2
334011,202001,Exam_A,100
334011,202001,Exam_B,96.5
336022,201601,Exam_A,100
336022,201601,Exam_B,100
336022,201801,Exam_A,97
336022,201801,Exam_B,100
336022,202101,Exam_A,100
336022,202101,Exam_B,100
336022,202201,Exam_A,100
336022,202201,Exam_B,93.333
336022,201701,Exam_A,97
336022,201701,Exam_B,90
336022,201501,Exam_A,93
336022,202001,Exam_A,100
336022,202001,Exam_B,93
336022,201901,Exam_A,100
336022,201901,Exam_B,96
336533,201602,Exam_A,96
336533,201602,Exam_B,96
336533,201701,Exam_A,98
336533,201701,Exam_B,93
336533,202202,Exam_A,94
334023,202102,Exam_A,100
334023,202102,Exam_B,100
334023,202202,Exam_A,100
334023,202202,Exam_B,94
335001,202202,Exam_A,100
335010,202201,Exam_A,95
335010,202201,Exam_B,92
335010,201702,Exam_A,100
335010,202301,Exam_A,93
335010,202102,Exam_A,92
335010,202102,Exam_B,98
335010,201602,Exam_A,93
335002,202301,Exam_A,100
335002,202201,Exam_A,100
335002,202103,Exam_A,100
335002,202202,Exam_A,100
335003,202301,Exam_A,100
335003,202201,Exam_A,100
335003,202103,Exam_A,100
335003,202202,Exam_A,100
