Course Number,Semester,max grade,only below 100,both below 100 and after 2020,שם הקורס
334023,202202,94,94,94,סטטיסטיקה
335001,202202,100,FALSE,FALSE,
335010,201602,93,93,FALSE,
335010,201702,100,FALSE,FALSE,
335010,202102,98,98,98,תכן ביו-מכני
335010,202201,95,95,95,תכן ביו-מכני
335010,202301,93,93,93,תכן ביו-מכני
335002,202103,100,FALSE,FALSE,
335002,202201,100,FALSE,FALSE,
335002,202202,100,FALSE,FALSE,
335002,202301,100,FALSE,FALSE,
335003,202103,100,FALSE,FALSE,
335003,202201,100,FALSE,FALSE,
335003,202202,100,FALSE,FALSE,
335003,202301,100,FALSE,FALSE,
,,,,,
